90
375
115540	2	E 2
126372	2	E 2
143475	2	E 2
158678	2	E 2
174071	4	E 2
202766	4	E 2
231841	8	E 2
294172	8	E 2
353842	2	F 2
364484	2	F 2
379116	2	F 2
390899	2	F 2
407051	4	F 2
435176	4	F 2
465772	8	F 2
526962	8	F 2
586823	2	F#2
597085	2	F#2
612857	2	F#2
626730	2	F#2
641552	4	F#2
670248	4	F#2
701603	8	F#2
764884	8	F#2
821894	2	G  2
832536	2	G  2
846408	2	G  2
860091	2	G  2
875293	4	G  2
904179	4	G  2
936294	8	G  2
996535	8	G  2
1058106	2	G#2
1067987	2	G#2
1081860	2	G#2
1098013	2	G#2
1114926	4	G#2
1143240	4	G#2
1173076	8	G#2
1233126	8	G#2
1291466	2	A 2
1301918	2	A 2
1317501	2	A 2
1332514	2	A 2
1347716	4	A 2
1376031	4	A 2
1408337	8	A 2
1466867	8	A 2
1528628	2	A#2
1539080	2	A#2
1554473	2	A#2
1566635	2	A#2
1582217	4	A#2
1611293	4	A#2
1641698	8	A#2
1702699	8	A#2
1761989	2	B 2
1773011	2	B 2
1788024	2	B 2
1800756	2	B 2
1818239	4	B 2
1847504	4	B 2
1878099	8	B 2
1939860	8	B 2
2000861	2	C 3
2010363	2	C 3
2024995	2	C 3
2040198	2	C 3
2054640	4	C 3
2083145	4	C 3
2113741	8	C 3
2176072	8	C 3
2231371	2	C#3
2244674	2	C#3
2258736	2	C#3
2273939	2	C#3
2289521	4	C#3
2318407	4	C#3
2348242	8	C#3
2410763	8	C#3
2467203	2	D 3
2481075	2	D 3
2493997	2	D 3
2508630	2	D 3
2523072	4	D 3
2553478	4	D 3
2585593	8	D 3
2643554	8	D 3
2704554	2	D#3
2716336	2	D#3
2730589	2	D#3
2744271	2	D#3
2758904	4	D#3
2789309	4	D#3
2818954	8	D#3
2879195	8	D#3
2937915	2	E 3
2950077	2	E 3
2964330	2	E 3
2977442	2	E 3
2993405	4	E 3
3022290	4	E 3
3052885	8	E 3
3115026	8	E 3
3176217	2	F 3
3186479	2	F 3
3200921	2	F 3
3214034	2	F 3
3229426	4	F 3
3260782	4	F 3
3290807	8	F 3
3349147	8	F 3
3406537	2	F#3
3421170	2	F#3
3434282	2	F#3
3449485	2	F#3
3464688	4	F#3
3495283	4	F#3
3526828	8	F#3
3586689	8	F#3
3643699	2	G 3
3656241	2	G 3
3670114	2	G 3
3684366	2	G 3
3697858	4	G 3
3727884	4	G 3
3761140	8	G 3
3818910	8	G 3
3883331	2	G#3
3893783	2	G#3
3907655	2	G#3
3920768	2	G#3
3935020	4	G#3
3965995	4	G#3
3997161	8	G#3
4055881	8	G#3
4114411	2	A 3
4125623	2	A 3
4140066	2	A 3
4156029	2	A 3
4170091	4	A 3
4203727	4	A 3
4232612	8	A 3
4290762	8	A 3
4348533	2	A#3
4363165	2	A#3
4375517	2	A#3
4389770	2	A#3
4405162	4	A#3
4438038	4	A#3
4467113	8	A#3
4526404	8	A#3
4583794	2	B 3
4595956	2	B 3
4610208	2	B 3
4625601	2	B 3
4640044	4	B 3
4671399	4	B 3
4701804	8	B 3
4762235	8	B 3
4820575	2	C 4
4832357	2	C 4
4846990	2	C 4
4860672	2	C 4
4875305	4	C 4
4906280	4	C 4
4936686	8	C 4
4997496	8	C 4
5055647	2	C#4
5067999	2	C#4
5082441	2	C#4
5096124	2	C#4
5113607	4	C#4
5144962	4	C#4
5173467	8	C#4
5232378	8	C#4
5290148	2	D 4
5303450	2	D 4
5317892	2	D 4
5331955	6	D 4
5379463	4	D 4
5407968	8	D 4
5466499	8	D 4
5527309	2	D#4
5538521	2	D#4
5553534	2	D#4
5567216	2	D#4
5582799	4	D#4
5613394	4	D#4
5643420	8	D#4
5700620	8	D#4
5764281	2	E 4
5774353	2	E 4
5790125	2	E 4
5802097	2	E 4
5816350	4	E 4
5845045	4	E 4
5875830	8	E 4
5936641	8	E 4
5996692	2	F 4
6009044	2	F 4
6023296	2	F 4
6037929	2	F 4
6053131	4	F 4
6080686	4	F 4
6111282	8	F 4
6175133	8	F 4
6232143	2	F#4
6243735	2	F#4
6260078	2	F#4
6272430	2	F#4
6288583	4	F#4
6319368	4	F#4
6350534	8	F#4
6408304	8	F#4
6467214	2	G 4
6479186	2	G 4
6493629	2	G 4
6509211	2	G 4
6523844	4	G 4
6555199	4	G 4
6585415	8	G 4
6644325	8	G 4
6700765	2	G#4
6711787	2	G#4
6727560	2	G#4
6743713	2	G#4
6759485	4	G#4
6789130	4	G#4
6818016	8	G#4
6877876	8	G#4
6937737	2	A 4
6949139	2	A 4
6963771	2	A 4
6979164	2	A 4
6994366	4	A 4
7025342	4	A 4
7053847	8	A 4
7114468	8	A 4
7172048	2	A#4
7185160	2	A#4
7200933	2	A#4
7213095	2	A#4
7227537	4	A#4
7256993	4	A#4
7289868	8	A#4
7346688	8	A#4
7405219	2	B 4
7419851	2	B 4
7431063	2	B 4
7445126	2	B 4
7460518	4	B 4
7492254	4	B 4
7522279	8	B 4
7582900	8	B 4
7645801	2	C 5
7658343	2	C 5
7671075	2	C 5
7683237	2	C 5
7698060	4	C 5
7726945	4	C 5
7759061	8	C 5
7820821	8	C 5
7878782	2	C#5
7893224	2	C#5
7905386	2	C#5
7920019	2	C#5
7933701	4	C#5
7964297	4	C#5
7995272	8	C#5
8057413	8	C#5
8114993	1	D 5
8123925	3	D 5
8143688	2	D 5
8156040	2	D 5
8167822	4	D 5
8198418	4	D 5
8227683	8	D 5
8290204	8	D 5
8348734	2	D#5
8360516	2	D#5
8374008	2	D#5
8387691	2	D#5
8404224	4	D#5
8433489	4	D#5
8463324	8	D#5
8524515	8	D#5
8585515	2	E 5
8596157	2	E 5
8610030	2	E 5
8626183	2	E 5
8640245	4	E 5
8670840	4	E 5
8700106	8	E 5
8762437	8	E 5
8820017	2	F 5
8831039	2	F 5
8846051	2	F 5
8861444	2	F 5
8875316	4	F 5
8903631	4	F 5
8935937	8	F 5
8995227	8	F 5
9056038	2	F#5
9067820	2	F#5
9079982	2	F#5
9093665	2	F#5
9110578	4	F#5
9141933	4	F#5
9170818	8	F#5
9232009	8	F#5
9289969	2	G 5
9301561	2	G 5
9314863	2	G 5
9331396	2	G 5
9346599	4	G 5
9376434	4	G 5
9406269	8	G 5
9465750	8	G 5
9526560	2	G#5
9538533	2	G#5
9550125	2	G#5
9566087	2	G#5
9582050	4	G#5
9613406	4	G#5
9641911	8	G#5
9703482	8	G#5
9760492	2	A 5
9772844	2	A 5
9785006	2	A 5
9801349	2	A 5
9816931	4	A 5
9847907	4	A 5
9876602	8	A 5
9934942	8	A 5
9996703	2	A#5
10007345	2	A#5
10020837	2	A#5
10037560	2	A#5
10052763	4	A#5
10082408	4	A#5
10113763	8	A#5
10171534	8	A#5
10229684	2	B 5
10242226	2	B 5
10258569	2	B 5
10272441	2	B 5
10287644	4	B 5
10318239	4	B 5
10349025	8	B 5
10408885	8	B 5
10466085	2	C 6
10478057	2	C 6
10491930	2	C 6
10507893	2	C 6
10523665	4	C 6
10551030	4	C 6
10579915	8	C 6
10643766	8	C 6
10700016	2	C#6
10712178	2	C#6
10727761	2	C#6
10744104	2	C#6
10757976	4	C#6
10788192	4	C#6
10817837	8	C#6
10878648	8	C#6
10934707	2	D 6
10948960	2	D 6
10963022	2	D 6
10979555	2	D 6
10993618	4	D 6
11022313	4	D 6
11051578	8	D 6
11112579	8	D 6
